"dtype","param","subjid","fidtc","afidtc","aval"
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2021-12-31","2020-12-31",0.9661455850900083
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2022-12-31","2020-12-31",0.9410238147464962
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2023-12-31","2020-12-31",0.9047351169076543
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2024-09-30","2020-12-31",0.35211377510218694
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2020-12-31","2021-12-31",0.9661455850900083
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2022-12-31","2021-12-31",0.9892300227974946
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2023-12-31","2021-12-31",0.9628104060953175
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2024-09-30","2021-12-31",0.4337750190346987
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2020-12-31","2022-12-31",0.9410238147464962
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2021-12-31","2022-12-31",0.9892300227974946
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2023-12-31","2022-12-31",0.9834570639101772
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2024-09-30","2022-12-31",0.4238376919107207
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2020-12-31","2023-12-31",0.9047351169076543
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2021-12-31","2023-12-31",0.9628104060953175
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2022-12-31","2023-12-31",0.9834570639101772
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2024-09-30","2023-12-31",0.34734165053087274
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2020-12-31","2024-09-30",0.35211377510218694
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2021-12-31","2024-09-30",0.4337750190346987
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2022-12-31","2024-09-30",0.4238376919107207
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","FISTRESN","DIOD","2023-12-31","2024-09-30",0.34734165053087274
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","CHG","DIOD","2022-12-31","2021-12-31",0.356767619202285
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","CHG","DIOD","2023-12-31","2021-12-31",-0.2078468737918521
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","CHG","DIOD","2021-12-31","2022-12-31",0.356767619202285
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","CHG","DIOD","2023-12-31","2022-12-31",0.3294798641032591
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","CHG","DIOD","2021-12-31","2023-12-31",-0.2078468737918521
"DERIVED NORMALIZED COSINE DISTANCE WITHIN SUBJECT","CHG","DIOD","2022-12-31","2023-12-31",0.3294798641032591
